user_id,position,title,link,authors,publication,publication_year,cited_by_count
PT8wxO8AAAAJ,37,Extension of TOPSIS model to the decision-making under complex spherical fuzzy information,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:5o6HiIVP414C,"M Akram, C Kahraman, K Zahid","Soft Computing 25 (16), 10771-10795",2021,83
PT8wxO8AAAAJ,38,Fuzzy soft graphs with applications,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:sJsF-0ZLhtgC,"M Akram, S Nawaz","Journal of Intelligent & Fuzzy Systems 30 (6), 3619-3632",2016,83
PT8wxO8AAAAJ,39,Decision-making framework for an effective sanitizer to reduce COVID-19 under Fermatean fuzzy environment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:X1xEhyGaivYC,"M Akram, G Shahzadi, AAH Ahmadini","Journal of Mathematics 2020, 1-19",2020,82
PT8wxO8AAAAJ,40,Attribute analysis of information systems based on elementary soft implications,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:Ri6SYOTghG4C,"F Feng, M Akram, B Davvaz, V Leoreanu-Fotea","Knowledge-Based Systems 70, 281-292",2014,81
PT8wxO8AAAAJ,41,Group decision-making based on the VIKOR method with trapezoidal bipolar fuzzy information,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:PQY3Tb_h0-cC,"Shumaiza, M Akram, AN Al-Kenani, JCR Alcantud","Symmetry 11 (10), 1313",2019,79
PT8wxO8AAAAJ,42,Digraph and matrix approach for risk evaluations under Pythagorean fuzzy information,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:x7obfLuV8acC,"A Luqman, M Akram, JCR Alcantud","Expert Systems with Applications 170, 114518",2021,78
PT8wxO8AAAAJ,43,Intuitionistic fuzzy cycles and intuitionistic fuzzy trees,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:KUbvn5osdkgC,"M Akram, NO Alshehri",The Scientific World Journal 2014,2014,77
PT8wxO8AAAAJ,44,Group decision-making framework using complex Pythagorean fuzzy information,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:NObE97JSLecC,"X Ma, M Akram, K Zahid, JCR Alcantud","Neural Computing and Applications 33, 2085-2105",2021,76
PT8wxO8AAAAJ,45,Novel decision-making algorithms based on intuitionistic fuzzy rough environment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:ZYsTHYU9jrMC,"J Zhan, H Masood Malik, M Akram","International Journal of Machine Learning and Cybernetics 10, 1459-1485",2019,76
PT8wxO8AAAAJ,46,TOPSIS Approach for MAGDM Based on Interval-Valued Hesitant Fuzzy ,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:ZpgFv6i7Z4gC,"M Akram, A Adeel","International Journal of Fuzzy Systems 21, 993-1009",2019,76
PT8wxO8AAAAJ,47,Group decision-making analysis based on linguistic ,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:5McdzzY_mmwC,"P Liu, S Naz, M Akram, M Muzammal","International Journal of Machine Learning and Cybernetics, 1-24",2022,73
